"","parcela","coordx","coordy","vol_ha"
"1",1,13,18,98.584175
"2",2,95,110,53.479172
"3",3,62,176,116.846382
"4",4,37,161,95.823746
"5",5,110,3,85.405258
"6",6,14,170,124.263931
"7",7,52,167,67.845459
"8",8,11,13,91.897011
"9",9,110,115,61.585854
"10",10,38,172,77.302216
"11",11,72,8,82.847237
"12",12,127,11,94.585541
"13",13,120,15,90.946129
"14",14,54,183,108.781433
"15",15,114,41,84.279999
"16",16,100,79,111.059303
"17",17,30,174,100.0326
"18",18,80,131,103.224075
"19",19,87,139,107.557495
"20",20,130,148,82.016678
"21",21,14,121,88.122528
"22",22,18,175,110.023598
"23",23,87,181,62.114357
"24",24,10,92,99.769997
"25",25,134,20,93.889076
"26",26,141,8,89.420082
"27",27,58,70,76.791374
"28",28,33,61,93.11412
"29",29,48,31,104.697319
"30",30,118,117,74.169708
